# Compound	Cor_Rel	Compound	Found_Rel
doorbell	WholePart	doorbell	WholePart
mailbox	Purpose	mailbox	Purpose
oilcan	Purpose	oilcan	-
sunshine	WholePart	sunshine	-
bookshelf	Purpose	bookshelf	WholePart
brakeman	ActivityActor	brakeman	ActivityActor
bluebell	Specialization	bluebell	Specialization
bookkeeper	ActivityActor	bookkeeper	ActivityActor
haircut	WholePart	haircut	-
footnote	Purpose	footnote	-
housekeeper	ActivityActor	housekeeper	ActivityActor
landmark	WholePart	landmark	Purpose
postoffice	WholePart	postoffice	Purpose
policeman	ActivityActor	policeman	ActivityActor
railway	Composition	railway	ActivityActor
shoemaker	ActivityActor	shoemaker	ActivityActor
waterway	Specialization	waterway	WholePart
website	Purpose	website	Purpose
username	WholePart	username	WholePart
handgun	Purpose	handgun	WholePart
footstep	WholePart	footstep	-
warship	Purpose	warship	Purpose
seaman	ActivityActor	seaman	Purpose
schoolroom	WholePart	schoolroom	WholePart
buttermilk	HalfHalf	buttermilk	Purpose
firefly	Comparison	firefly	Purpose
handbook	Purpose	handbook	Purpose
blackberry	Specialization	blackberry	Specialization
bloodpressure	WholePart	bloodpressure	Purpose
salesperson	ActivityActor	salesperson	ActivityActor
wallpaper	Purpose	wallpaper	Purpose
fireplace	Purpose	fireplace	Purpose
teaspoon	Purpose	teaspoon	Purpose
songwriter	ActivityActor	songwriter	WholePart
toothpaste	Purpose	toothpaste	Purpose
weekend	WholePart	weekend	WholePart
fingerprint	WholePart	fingerprint	Comparison
freezone	Specialization	freezone	Specialization
briefcase	Purpose	briefcase	Specialization
dragonship	Comparison	dragonship	Purpose
postman	ActivityActor	postman	ActivityActor
toolbox	Purpose	toolbox	Purpose
snowboard	Purpose	snowboard	Purpose
battleship	Purpose	battleship	HalfHalf
teacup	Purpose	teacup	Purpose
seafood	PlaceObject	seafood	PlaceObject
woodpile	WholePart	woodpile	WholePart
blockhead	Specialization	blockhead	WholePart
teamplayer	WholePart	teamplayer	WholePart
bigbang	Specialization	bigbang	Specialization
